,Região,UF,Cidade,Sexo,Faixa Etária,Data Finalização,Tempo Resposta,Nome Fantasia,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,Respondida,Situação,Avaliação Reclamação,Nota do Consumidor,Total,ï»¿RegiÃ£o,Faixa EtÃ¡ria,Data FinalizaÃ§Ã£o,Ãrea,SituaÃ§Ã£o,AvaliaÃ§Ã£o ReclamaÃ§Ã£o
4484,NE,CE,Fortaleza,F,entre 21 a 30 anos,09/11/2019,10.0,Enel Distribuição Ceará (Coelce),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Telefone,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4485,S ,PR,Londrina,M,entre 21 a 30 anos,20/11/2019,5.0,Copel - Companhia Paranaense de Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Não entrega do contrato ou documentação relacionada ao serviço,Internet,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4486,NE,PE,Recife,M,entre 51 a 60 anos,22/11/2019,9.0,Celpe,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4487,NE,MA,Imperatriz,F,entre 31 a 40 anos,22/11/2019,9.0,CEMAR,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4488,NE,BA,Camaçari,M,entre 31 a 40 anos,08/11/2019,4.0,Coelba,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4489,S ,RS,Carlos Barbosa,M,entre 61 a 70 anos,29/11/2019,8.0,RGE - Rio Grande Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Domicílio,N,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4490,S ,PR,Curitiba,M,entre 31 a 40 anos,16/11/2019,9.0,Copel - Companhia Paranaense de Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Não comprei / contratei,S,S,Finalizada avaliada,Resolvida,5.0,1,,,,,,
4491,CO,MT,Cuiabá,M,entre 41 a 50 anos,20/11/2019,0.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4492,SE,SP,Araraquara,M,entre 41 a 50 anos,26/11/2019,6.0,CPFL Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Loja física,N,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4493,CO,MT,Várzea Grande,M,entre 31 a 40 anos,20/11/2019,1.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
